,name,RA,DEC,Equinox
127,NGC124,00:27:58.8,-01:48:42,2000
128,NGC125,00:28:53.1,+02:50:17,2000
129,NGC126,00:29:11.1,+02:48:17,2000
130,NGC127,00:29:11.1,+02:52:17,2000
131,NGC128,00:29:17.1,+02:51:17,2000
132,NGC129,00:29:54.3,+60:13:17,2000
133,NGC130,00:29:17.1,+02:51:17,2000
134,NGC131,00:29:32.2,-33:16:43,2000
135,NGC132,00:30:11.1,+02:05:17,2000
136,NGC133,00:31:07.7,+63:21:16,2000
137,NGC134,00:30:20.1,-33:15:43,2000
138,NGC135,00:33:15.8,-13:21:44,2000
139,NGC136,00:31:31.2,+61:31:16,2000
140,NGC137,00:31:05.7,+10:11:17,2000
141,NGC138,00:30:59.3,+05:10:17,2000
142,NGC139,00:30:59.3,+05:05:17,2000
143,NGC140,00:31:19.6,+30:47:16,2000
144,NGC141,00:31:23.3,+05:11:17,2000
145,NGC142,00:31:15.1,-22:36:43,2000
146,NGC143,00:31:21.1,-22:33:43,2000
147,NGC144,00:31:27.1,-22:38:43,2000
148,NGC145,00:31:46.5,-05:09:43,2000
149,NGC146,00:33:02.2,+63:16:16,2000
150,NGC147,00:33:16.3,+48:30:16,2000
151,NGC148,00:34:13.9,-31:47:44,2000
152,NGC149,00:33:43.8,+30:43:16,2000
153,NGC150,00:34:14.3,-27:48:44,2000
154,NGC151,00:34:10.1,-09:41:44,2000
155,NGC152,00:32:49.4,-73:08:44,2000
156,NGC153,00:34:16.1,-09:42:44,2000
157,NGC154,00:34:03.8,-12:38:44,2000
158,NGC155,00:34:40.0,-10:45:44,2000
159,NGC156,00:34:34.2,-08:20:44,2000
160,NGC157,00:34:52.2,-08:23:44,2000
161,NGC158,00:34:52.2,-08:18:44,2000
162,NGC159,00:34:33.7,-55:46:44,2000
163,NGC160,00:36:01.2,+23:57:15,2000
164,NGC161,00:35:28.7,-02:49:45,2000
165,NGC162,00:36:07.2,+23:58:15,2000
166,NGC163,00:36:04.0,-10:07:45,2000
167,NGC164,00:36:29.2,+02:45:15,2000
168,NGC165,00:36:28.0,-10:07:45,2000
169,NGC166,00:35:45.7,-13:36:45,2000
170,NGC167,00:35:20.7,-23:21:44,2000
171,NGC168,00:36:44.7,-22:35:45,2000
172,NGC169,00:36:49.3,+23:59:15,2000
173,NGC169,00:36:55.3,+23:59:15,2000
174,NGC170,00:36:41.1,+01:51:15,2000
175,NGC171,00:36:45.2,-18:29:45,2000
176,NGC172,00:37:14.7,-22:35:45,2000
177,NGC173,00:37:11.1,+01:56:15,2000
178,NGC174,00:36:55.9,-29:28:45,2000
179,NGC175,00:37:27.0,-19:55:45,2000
180,NGC176,00:35:47.9,-73:10:44,2000
181,NGC177,00:37:32.7,-22:33:45,2000
182,NGC178,00:39:03.5,-14:10:46,2000
183,NGC179,00:37:45.2,-17:52:45,2000
184,NGC180,00:37:59.7,+08:38:14,2000
185,NGC181,00:38:14.0,+29:28:14,2000
186,NGC182,00:38:11.2,+02:43:14,2000
187,NGC183,00:38:20.0,+29:30:14,2000
188,NGC184,00:38:32.0,+29:26:14,2000
189,NGC185,00:38:59.2,+48:20:14,2000
190,NGC186,00:38:29.2,+03:09:14,2000
191,NGC187,00:39:33.4,-14:40:46,2000
192,NGC188,00:44:26.5,+85:20:12,2000
193,NGC189,00:38:44.9,+61:03:14,2000
194,NGC190,00:38:53.6,+07:02:14,2000
195,NGC191,00:38:58.0,-09:00:46,2000
196,NGC192,00:39:17.0,+00:51:14,2000
197,NGC193,00:39:23.2,+03:19:14,2000
